,index,holeID,positionerID,robotailID,wokID_x,apSpecID,bossSpecID,alphaArmLen,metX,metY,apX,apY,bossX,bossY,alphaOffset,betaOffset,dx,dy,stdr,wokID_y,holeType,hexRow,hexCol,xWok,yWok,zWok,ix,iy,iz,jx,jy,jz,kx,ky,kz,alphaReport,betaReport,cmdAlpha,cmdBeta,startAlpha,startBeta,xWokReportMetrology,yWokReportMetrology,xWokReportAPOGEE,yWokReportAPOGEE,xWokReportBOSS,yWokReportBOSS,index,thresh,npix,tnpix,xmin,xmax,ymin,ymax,x,y,x2,y2,xy,errx2,erry2,errxy,a,b,theta,cxx,cyy,cxy,cflux,flux,cpeak,peak,xcpeak,ycpeak,xpeak,ypeak,flag,xWinpos,yWinpos,xSimple,ySimple,xNudge,yNudge,xRot,yRot,xWinposRot,yWinposRot,xSimpleRot,ySimpleRot,xNudgeRot,yNudgeRot,centroidID,xWokMeasMetrology,yWokMeasMetrology,wokErr,wokErrWarn,alphaMeas,betaMeas,xWokMeasAPOGEE,yWokMeasAPOGEE,xWokMeasBOSS,yWokMeasBOSS
0,0,R-13C1,1004,FTO0,flatNominal,0,0,7.40635738192,14.3179860815,0.0,14.9733275655,0.364967350287,14.963733287,-0.376150133223,0.636819198317,0.0915112945468,0.179203784145,-0.0833079596417,0.0213359803132,flatNominal,ApogeeBoss,-13.0,0.0,-145.6,-252.1866,0,0,-1,0,1,0,0,0,0,1,350.10324955,118.925038576,,,,,-133.399905808,-254.835801638,-132.906507955,-254.270795278,-132.665020924,-254.971531454,484,61.9990005493,331,318,5981,6001,4497,4518,5990.12928493,4506.18259278,6.31044282276,7.49672524343,0.00811990510176,2.67826545895e-05,3.10713912455e-05,-9.38053857266e-08,2.73802495003,2.51204848289,1.56395196915,0.158467710018,0.13339176774,-0.000343281280948,314967.125,315562.1875,17564.8945312,28190.2695312,5990,4506,5990,4506,0,5989.66100534,4505.57467386,5989.8,4505.75,5990.13796746,4506.2340484,3023.10130999,1012.6300253,3023.26523102,1013.37967928,3023.20911061,1013.16200017,3023.11542634,1012.57978791,484,-133.401929602,-254.786582917,0.0492603110043,False,350.234438372,119.014799949,-132.910714251,-254.219678069,-132.666526767,-254.919477788
1,1,R-13C2,1009,FTO1,flatNominal,1,1,7.38311124378,14.3056225747,0.0,14.9512203539,0.371279136569,14.9484875503,-0.385825465062,-0.296475566983,-0.0696109612059,0.0566868460496,-0.0257238711226,0.0288233972446,flatNominal,ApogeeBoss,-13.0,1.0,-123.2,-252.1866,0,0,-1,0,1,0,0,0,0,1,108.010808229,90.5441772938,,,,,-120.658192255,-236.406010464,-121.212443419,-235.908566662,-120.492316358,-235.674832064,472,61.9990005493,343,326,5823,5844,4406,4428,5833.08175371,4416.09090847,6.60652046151,7.60935216146,-0.123755085838,2.69484324609e-05,2.91139199366e-05,-1.26306647191e-06,2.76123142242,2.5673866272,-1.44980871677,0.151411741972,0.131457284093,0.00492498511449,329332.3125,329871.1875,17875.0390625,28346.4765625,5833,4416,5833,4416,0,5832.67933309,4415.49008008,5832.79,4415.69,5833.00263173,4416.0414963,3126.65449925,1161.14660902,3126.7618921,1161.8617341,3126.74390785,1161.63708743,3126.70495269,1161.22507111,472,-120.681213645,-236.393724885,0.026094441513,False,108.157245532,90.4705062697,-121.236096121,-235.896985388,-120.516266486,-235.66233641
2,2,R-13C3,1136,FTO2,flatNominal,2,2,7.39051516067,14.3363338522,0.0,14.9974674757,0.334438383901,14.9909165242,-0.406490434958,-0.521688890608,0.266420010045,0.0540630368742,-0.0653913240946,0.0240620455019,flatNominal,ApogeeBoss,-13.0,2.0,-100.8,-252.1866,0,0,-1,0,1,0,0,0,0,1,10.0157801807,170.01309514,,,,,-99.5897090071,-245.193725545,-99.9215324411,-244.531275615,-99.1806352911,-244.540754149,487,61.9990005493,364,350,5697,5718,4547,4569,5706.97842634,4555.87286445,6.91542005341,7.817341212,0.0726545593014,2.45118851599e-05,2.6723394852e-05,3.80823686448e-07,2.79699063301,2.62861275673,1.4909273386,0.144618496299,0.127933219075,-0.0026881757658,366742.25,367318.8125,19441.1972656,29559.6347656,5707,4555,5707,4555,0,5706.42323621,4555.30975524,5706.65,4555.42,5706.89596621,4555.85682297,3300.36474222,1088.58080523,3300.62638572,1089.32704296,3300.466191,1089.12742535,3300.43246118,1088.63051583,487,-99.5735460341,-245.15152623,0.0451887579123,False,11.8594233687,169.039583555,-99.9153912199,-244.494191787,-99.1744355648,-244.492417907
3,3,R-13C4,1118,FTO3,flatNominal,3,3,7.35982005957,14.2952971099,0.0,14.9219003495,0.392837134749,14.9522770728,-0.351985710365,0.453283784589,-2.22395706337,0.159959440692,0.0159495472563,0.0214242380762,flatNominal,ApogeeBoss,-13.0,3.0,-78.4,-252.1866,0,0,-1,0,1,0,0,0,0,1,323.653707504,155.689712763,,,,,-70.0272257223,-251.691918834,-69.6536239425,-251.053659996,-69.2819378214,-251.699828119,508,61.9990005493,364,348,5500,5521,4698,4722,5510.07087764,4708.90166174,6.88662543963,7.77405859594,0.00404269463073,2.58752696745e-05,3.02296716932e-05,-2.28144754201e-08,2.78820323944,2.62423467636,1.56624090672,0.145209044218,0.128632977605,-0.000151024287334,351650.5625,352174.9375,19567.1425781,31101.3925781,5510,4708,5510,4708,0,5509.67432892,4708.38141346,5509.79,4708.46,5510.04505077,4708.82997863,3543.75767525,1034.26436494,3543.89416011,1034.90411571,3543.82108455,1034.78329417,3543.7504266,1034.34021316,508,-70.0080932561,-251.654504689,0.0420222509514,False,324.250070627,155.464756055,-69.6386366594,-251.013837491,-69.2627697439,-251.657582688
4,4,R-13C5,1107,FTO4,flatNominal,4,4,7.40102200966,14.3306670749,0.0,14.9567277882,0.389105330496,14.9739294016,-0.355738465558,0.401596027768,3.98549779119,0.200011098092,-0.0405156949837,0.0193305700694,flatNominal,ApogeeBoss,-13.0,4.0,-56.0,-252.1866,0,0,-1,0,1,0,0,0,0,1,65.1020139456,81.8626123667,,,,,-42.4351055299,-242.87904384,-42.476423077,-242.143076562,-41.8145165861,-242.48508237,510,61.9990005493,373,353,5265,5286,4732,4755,5274.57405235,4742.13015845,7.1057747664,7.90061818629,-0.0702606316963,2.51152176328e-05,2.7949743066e-05,-6.29992059829e-07,2.81189990044,2.66450977325,-1.48330485821,0.140742987394,0.126583501697,0.00250327028334,367099.53125,367712.4375,20073.2597656,33310.9492188,5274,4742,5274,4742,0,5274.17565656,4741.5289165,5274.29,4741.71,5274.59703588,4741.98063875,3770.90025673,1104.75645947,3771.00383343,1105.47024022,3770.97850109,1105.25483351,3770.81563893,1104.88185569,510,-42.4196401792,-242.863775892,0.0217321726369,False,65.2636003106,81.6698699366,-42.4605575189,-242.127786254,-41.7988371003,-242.470151941
5,5,R-13C6,1127,FTO5,flatNominal,5,5,7.39551645805,14.3285609671,0.0,14.986635533,0.372019421927,14.9760747324,-0.378356294532,-0.663947593606,0.539771987147,0.128836986852,-0.023979672984,0.0177033585356,flatNominal,ApogeeBoss,-13.0,5.0,-33.6,-252.1866,0,0,-1,0,1,0,0,0,0,1,152.252751589,67.1865087748,,,,,-39.1835772343,-234.725042084,-39.888344677,-234.451613051,-39.3011077643,-233.984357174,505,61.9990005493,371,351,5212,5233,4684,4708,5222.1587618,4693.88271303,6.98195552132,7.93450364838,-0.0344429375751,2.52944813484e-05,3.08409429155e-05,-6.99829495192e-07,2.81704592705,2.64210367203,-1.53470039368,0.143229410052,0.126034528017,0.00124349095859,357231.5625,357787.0,20029.4746094,32838.0390625,5222,4693,5222,4693,0,5221.81592759,4693.37651491,5221.9,4693.45,5222.23863139,4693.77252572,3797.70047718,1170.76348073,3797.79438719,1171.36759393,3797.75042165,1171.26859775,3797.58121023,1170.82902299,505,-39.1704568111,-234.749490176,0.0277462555064,False,152.025062877,67.4798738312,-39.8755372138,-234.476869175,-39.2888362874,-234.008940474
6,6,R-13C7,1104,FTO6,flatNominal,6,6,7.39402217741,14.3321964374,0.0,14.9788597111,0.371407340788,14.9697019537,-0.389586211094,-0.0717444939533,1.88710288858,0.150498543094,-0.170912428703,0.0163987668575,flatNominal,ApogeeBoss,-13.0,6.0,-11.2,-252.1866,0,0,-1,0,1,0,0,0,0,1,91.169475317,21.0531695187,,,,,9.11099625685,-246.357332408,9.55028797435,-245.754721763,9.85190942848,-246.453448855,533,61.9990005493,370,346,4893,4913,4940,4963,4902.70683174,4950.24735175,7.24076737463,7.93838955509,-0.125714529052,2.56246544932e-05,2.91069547049e-05,-8.13659234369e-07,2.8214097023,2.68678331375,-1.39783763885,0.138144895434,0.126004785299,0.00437540141866,358919.6875,359341.09375,18370.2617188,29083.5117188,4902,4950,4902,4950,0,4902.53934685,4949.641882,4902.53,4949.79,4902.75966915,4950.26992015,4196.02548855,1075.31952375,4195.91845085,1075.93854535,4195.99088977,1075.81322586,4195.98734351,1075.27655771,533,9.13287645662,-246.357071547,0.0218817547332,False,91.5744865336,20.4207722058,9.57455625073,-245.756209032,9.87340234333,-246.456127644
7,7,R-13C8,1314,FTO7,flatNominal,7,7,7.38350285934,14.3061029845,0.0,14.9511828395,0.362062227679,14.9403458708,-0.385370561787,-0.656526793594,-0.160742399459,0.133380148382,-0.180391160307,0.0194040566423,flatNominal,ApogeeBoss,-13.0,7.0,11.2,-252.1866,0,0,-1,0,1,0,0,0,0,1,132.015151978,31.5246543288,,,,,20.810483179,-233.780604161,20.6563462975,-233.057099567,21.3668346262,-233.289434561,526,61.9990005493,369,353,4761,4783,4889,4911,4771.70994624,4898.9059928,7.37185131774,7.69212403967,0.0260844965477,2.6342805207e-05,2.77331775745e-05,8.62186450296e-08,2.77384829521,2.71472668648,1.49006080627,0.135652765632,0.130004659295,-0.00092001480516,360074.6875,360658.4375,18959.7089844,29711.5214844,4771,4898,4771,4898,0,4771.53155309,4898.33313585,4771.51,4898.44,4771.71950829,4898.93679712,4292.56504379,1177.67299671,4292.48179358,1178.26718406,4292.54412624,1178.18390153,4292.56954818,1177.64105849,526,20.8071033565,-233.782132822,0.00370944811905,False,131.978466026,31.5886114698,20.6526221245,-233.058701675,21.3632209576,-233.29069847
8,8,R-13C9,756,FTO8,flatNominal,8,8,7.35918660207,14.2856832585,0.0,14.9184064105,0.38020774447,14.929898854,-0.370408159634,0.95419524617,1.93968587045,0.164380594519,0.0192509246608,0.0261180952259,flatNominal,ApogeeBoss,-13.0,8.0,33.6,-252.1866,0,0,-1,0,1,0,0,0,0,1,103.956166506,74.0661334991,,,,,40.5022267618,-236.173549355,40.1119505737,-235.546986499,40.8622867559,-235.523493405,536,61.9990005493,373,359,4623,4644,4976,4998,4633.35727716,4985.94052242,7.35957373602,7.75966439856,0.0683471468147,2.50266944074e-05,2.57261415323e-05,4.75648334782e-07,2.78765463829,2.71076011658,1.40618419647,0.135888546705,0.128882095218,-0.00239381357096,375199.53125,375770.875,20531.5117188,33951.1367188,4633,4985,4633,4985,0,4633.06525369,4985.41936846,4633.14,4985.48,4633.34483685,4985.96598879,4454.83284694,1158.03552117,4454.87442446,1158.63146619,4454.83135962,1158.54842679,4454.85496884,1158.01780341,536,40.4933546718,-236.190690854,0.0193014237766,False,103.819873538,74.2560021209,40.1024927733,-235.564493208,40.8528066597,-235.540298506
9,9,R-13C10,637,FTO9,flatNominal,9,9,7.40282980322,14.3648969316,0.0,15.0109528837,0.361387886398,14.9819591001,-0.403555308928,-2.32770620527,0.141993420043,0.137187283814,0.0315693847494,0.0173077356229,flatNominal,ApogeeBoss,-13.0,9.0,56.0,-252.1866,0,0,-1,0,1,0,0,0,0,1,317.672724724,136.239824295,,,,,65.1869673222,-257.156926757,65.8218396588,-256.776234475,65.8159101585,-257.541703986,548,61.9990005493,359,342,4512,4533,5216,5239,4522.47958848,5226.39969906,7.0249766304,7.65192238884,-0.0306200613902,2.55041176873e-05,2.72330320313e-05,-7.09864261439e-07,2.76648044586,2.65018582344,-1.52211070061,0.142351716757,0.130688399076,0.00113927398343,353671.90625,354167.90625,19837.9765625,33703.5390625,4522,5226,4522,5226,0,4522.24546265,5225.76156144,4522.32,5225.91,4522.43121988,5226.50875425,4657.75667006,987.928497537,4657.69594799,988.605511091,4657.69588397,988.440618049,4657.84696779,987.850530391,548,65.2212799511,-257.137769804,0.0392981599611,False,318.063760346,136.066452963,65.8547014757,-256.75466842,65.8516799981,-257.520154934
