,index,holeID,positionerID,robotailID,wokID_x,apSpecID,bossSpecID,alphaArmLen,metX,metY,apX,apY,bossX,bossY,alphaOffset,betaOffset,dx,dy,stdr,wokID_y,holeType,hexRow,hexCol,xWok,yWok,zWok,ix,iy,iz,jx,jy,jz,kx,ky,kz,alphaReport,betaReport,cmdAlpha,cmdBeta,startAlpha,startBeta,xWokReportMetrology,yWokReportMetrology,xWokReportAPOGEE,yWokReportAPOGEE,xWokReportBOSS,yWokReportBOSS,index,thresh,npix,tnpix,xmin,xmax,ymin,ymax,x,y,x2,y2,xy,errx2,erry2,errxy,a,b,theta,cxx,cyy,cxy,cflux,flux,cpeak,peak,xcpeak,ycpeak,xpeak,ypeak,flag,xWinpos,yWinpos,xSimple,ySimple,xNudge,yNudge,xRot,yRot,xWinposRot,yWinposRot,xSimpleRot,ySimpleRot,xNudgeRot,yNudgeRot,centroidID,xWokMeasMetrology,yWokMeasMetrology,wokErr,wokErrWarn,alphaMeas,betaMeas,xWokMeasAPOGEE,yWokMeasAPOGEE,xWokMeasBOSS,yWokMeasBOSS
0,0,R-13C1,1004,FTO0,flatNominal,0,0,7.40635738192,14.3179860815,0.0,14.9733275655,0.364967350287,14.963733287,-0.376150133223,0.636819198317,0.0915112945468,0.179203784145,-0.0833079596417,0.0213359803132,flatNominal,ApogeeBoss,-13.0,0.0,-145.6,-252.1866,0,0,-1,0,1,0,0,0,0,1,235.894124508,120.055857897,,,,,-152.691182603,-262.575228556,-152.364800149,-263.250615942,-153.104116612,-263.198096022,552,61.0718727112,406,373,5328,5351,5223,5247,5339.23199519,5233.54503688,7.03936797197,8.16584537844,-0.300711001483,2.22802695418e-05,2.51128702274e-05,-1.35473980204e-06,2.87073040009,2.63896203041,-1.32559859753,0.142282038927,0.122654244304,0.010479202494,417449.6875,417904.1875,24518.8085938,42840.5585938,5339,5233,5339,5233,0,5339.01581211,5232.93245333,5339.07,5233.07,5339.73793682,5231.3007378,2874.910645,959.598181709,2875.13136772,960.20914424,2875.0728909,960.06829714,2874.42137083,961.846173282,552,-152.65527547,-262.549317361,0.0442799304901,False,235.643880417,120.378285982,-152.32804239,-263.224293018,-153.067424433,-263.172704567
1,1,R-13C2,1009,FTO1,flatNominal,1,1,7.38311124378,14.3056225747,0.0,14.9512203539,0.371279136569,14.9484875503,-0.385825465062,-0.296475566983,-0.0696109612059,0.0566868460496,-0.0257238711226,0.0288233972446,flatNominal,ApogeeBoss,-13.0,1.0,-123.2,-252.1866,0,0,-1,0,1,0,0,0,0,1,348.013615608,131.94111228,,,,,-112.356326,-252.393713334,-111.978245105,-251.752075176,-111.606786383,-252.411797287,545,61.0718727112,422,402,4999,5021,5141,5165,5010.02004281,5151.49530132,7.583555069,8.45099818938,-0.429203886539,2.05177242297e-05,2.27154434418e-05,-1.06553011032e-06,2.93725466728,2.72159647942,-1.18071484566,0.132244393229,0.118670322001,0.0134326880798,453504.25,454089.65625,25826.8476562,44683.0351562,5010,5151,5010,5151,0,5009.88724823,5150.8751826,5009.92,5151.01,5010.09204668,5151.78032972,3204.72237343,1039.2027826,3204.85976587,1039.82189886,3204.83098439,1039.6885023,3204.64825652,1038.91829634,545,-112.337365453,-252.340699355,0.0563026138451,False,348.458745501,131.795796371,-111.962647245,-251.697091591,-111.58774147,-252.354860932
2,2,R-13C3,1136,FTO2,flatNominal,2,2,7.39051516067,14.3363338522,0.0,14.9974674757,0.334438383901,14.9909165242,-0.406490434958,-0.521688890608,0.266420010045,0.0540630368742,-0.0653913240946,0.0240620455019,flatNominal,ApogeeBoss,-13.0,2.0,-100.8,-252.1866,0,0,-1,0,1,0,0,0,0,1,10.0170696527,170.012859106,,,,,-99.5898085433,-245.193697069,-99.9216441571,-244.53125324,-99.1807468328,-244.540718152,541,61.0718727112,450,429,4894,4918,5082,5107,4905.76801051,5093.09784995,7.99485826781,8.92220507116,-0.140227874355,2.10709134802e-05,2.19400576749e-05,-3.44093979117e-07,2.99047589302,2.82384800911,-1.42395484447,0.125114887953,0.112110823393,0.00393279315904,484848.40625,485407.125,24239.0996094,35978.4726562,4906,5092,4906,5092,0,4905.59640291,5092.56828883,4905.67,5092.58,4905.7800218,5093.22522958,3309.40486645,1096.82503717,3309.58039886,1097.35331031,3309.50775286,1097.3396183,3309.39191028,1096.69775017,541,-99.5647823693,-245.147370269,0.0526543614894,False,12.0278477622,168.921243017,-99.907202019,-244.490334894,-99.1662481975,-244.487913324
3,3,R-13C4,1118,FTO3,flatNominal,3,3,7.35982005957,14.2952971099,0.0,14.9219003495,0.392837134749,14.9522770728,-0.351985710365,0.453283784589,-2.22395706337,0.159959440692,0.0159495472563,0.0214242380762,flatNominal,ApogeeBoss,-13.0,3.0,-78.4,-252.1866,0,0,-1,0,1,0,0,0,0,1,227.261381149,153.815932274,,,,,-79.102504814,-260.886069247,-78.5245898769,-261.347552681,-79.2174825856,-261.622477234,550,61.0718727112,440,417,4724,4747,5210,5234,4735.78728019,5220.57724711,7.75259738584,8.55568475348,-0.24434652439,2.02502981557e-05,2.1728626944e-05,-7.71651100482e-07,2.93669652939,2.77202010155,-1.29746675491,0.129105240107,0.116986654699,0.00737437559292,479333.75,479906.96875,26241.328125,42944.265625,4736,5220,4736,5220,0,4735.58421791,5219.9584158,4735.68,5220.09,4735.76237175,5220.77824667,3478.43497219,968.087829138,3478.64262084,968.705136614,3478.54322729,968.571512834,3478.45838846,967.886650283,550,-79.0548476662,-260.875967877,0.0487159256144,False,227.36510562,153.952811138,-78.4749999135,-261.335020399,-79.16673202,-261.612852198
4,4,R-13C5,1107,FTO4,flatNominal,4,4,7.40102200966,14.3306670749,0.0,14.9567277882,0.389105330496,14.9739294016,-0.355738465558,0.401596027768,3.98549779119,0.200011098092,-0.0405156949837,0.0193305700694,flatNominal,ApogeeBoss,-13.0,4.0,-56.0,-252.1866,0,0,-1,0,1,0,0,0,0,1,211.402294636,112.265746593,,,,,-67.5233525125,-258.257198426,-67.5244247839,-258.994323806,-68.165569101,-258.614821315,547,61.0718727112,425,403,4630,4652,5189,5212,4640.98159169,5199.3530229,7.73272219561,8.43367910644,-0.388335887298,2.05355368916e-05,2.23721143777e-05,-1.29192302466e-06,2.93365073204,2.74956274033,-1.15249919891,0.129620298743,0.118847034872,0.01193695236,457088.5,457541.75,25141.1503906,43021.8359375,4641,5199,4641,5199,0,4640.88448195,5198.73861112,4640.9,5198.88,4640.91688417,5199.51279317,3573.39554224,988.60797537,3573.49720847,989.221649645,3573.47731872,989.080033365,3573.45906242,988.447729353,547,-67.5070431344,-258.28130518,0.0291055220506,False,211.504652282,112.293055808,-67.506447206,-259.018431099,-68.1484487377,-258.640380561
5,5,R-13C6,1127,FTO5,flatNominal,5,5,7.39551645805,14.3285609671,0.0,14.986635533,0.372019421927,14.9760747324,-0.378356294532,-0.663947593606,0.539771987147,0.128836986852,-0.023979672984,0.0177033585356,flatNominal,ApogeeBoss,-13.0,5.0,-33.6,-252.1866,0,0,-1,0,1,0,0,0,0,1,60.763015151,155.516860485,,,,,-35.6664773235,-244.432995971,-36.3551038858,-244.121140167,-35.7430073117,-243.686959294,540,61.0718727112,449,428,4368,4391,5075,5099,4379.73811121,5085.61877166,7.8544715932,8.91531333457,-0.291073769668,2.04005780837e-05,2.24713869079e-05,-1.05030769117e-06,2.99832105637,2.78923916817,-1.31985092163,0.127470239997,0.112302429974,0.00832348596305,482426.53125,482997.625,25711.8085938,42047.1171875,4380,5085,4380,5085,0,4379.61610016,5084.9951435,4379.69,5085.13,4379.69074894,5085.88345392,3835.47578099,1100.40057109,3835.60241623,1101.02327671,3835.53100233,1100.89004021,3835.52117791,1100.13554467,540,-35.6782774373,-244.385655611,0.048788854763,False,61.6158059337,154.991422619,-36.3686745032,-244.077739265,-35.7590685488,-243.640068354
6,6,R-13C7,1104,FTO6,flatNominal,6,6,7.39402217741,14.3321964374,0.0,14.9788597111,0.371407340788,14.9697019537,-0.389586211094,-0.0717444939533,1.88710288858,0.150498543094,-0.170912428703,0.0163987668575,flatNominal,ApogeeBoss,-13.0,6.0,-11.2,-252.1866,0,0,-1,0,1,0,0,0,0,1,199.565556049,144.927992821,,,,,-17.2305810077,-259.291880276,-17.0227837203,-260.00807654,-17.7599868231,-259.819061632,548,61.0718727112,435,419,4215,4239,5196,5220,4226.80751437,5206.16094015,7.76235523328,8.70979846002,-0.145952350469,2.01883093848e-05,2.15726237043e-05,-3.13729370517e-07,2.95495724678,2.78215408325,-1.42136192322,0.128867477179,0.114849403501,0.00431893160567,475324.0625,475935.5625,24222.5722656,37492.2617188,4227,5206,4227,5206,0,4226.71344281,5205.41801857,4226.75,5205.65,4226.84507334,5206.18434694,3987.5076995,978.726919104,3987.60728123,979.469122182,3987.56705131,979.237530556,3987.46996787,978.703791663,548,-17.2260361757,-259.298628115,0.00813565175875,False,199.643166064,144.907914579,-17.017519847,-260.014615365,-17.7549123715,-259.826340791
7,7,R-13C8,1314,FTO7,flatNominal,7,7,7.38350285934,14.3061029845,0.0,14.9511828395,0.362062227679,14.9403458708,-0.385370561787,-0.656526793594,-0.160742399459,0.133380148382,-0.180391160307,0.0194040566423,flatNominal,ApogeeBoss,-13.0,7.0,11.2,-252.1866,0,0,-1,0,1,0,0,0,0,1,291.619913578,83.1832194328,,,,,7.58236029117,-268.843589617,8.0895938315,-269.382042225,7.36169929413,-269.552167935,555,61.0718727112,402,389,4011,4033,5272,5294,4021.67567297,5282.24683039,7.33571151723,7.80313400631,-0.156099803891,1.82815978299e-05,1.91603760983e-05,-3.85870544689e-07,2.80186915398,2.69969892502,-1.27636229992,0.136377483606,0.128208220005,0.00545639684424,462156.0625,462728.3125,23791.7089844,36057.3984375,4022,5282,4022,5282,0,4021.41322155,5281.64955158,4021.59,5281.8,4021.70286712,5282.42470576,4192.0693076,901.120968678,4192.33618382,901.716283555,4192.16043361,901.571236841,4192.0407943,900.943299995,555,7.62222422832,-268.83197457,0.0415215943169,False,291.607596015,83.3624731583,8.13102444129,-269.368947027,7.40362866859,-269.541192795
8,8,R-13C9,756,FTO8,flatNominal,8,8,7.35918660207,14.2856832585,0.0,14.9184064105,0.38020774447,14.929898854,-0.370408159634,0.95419524617,1.93968587045,0.164380594519,0.0192509246608,0.0261180952259,flatNominal,ApogeeBoss,-13.0,8.0,33.6,-252.1866,0,0,-1,0,1,0,0,0,0,1,326.883666515,108.303941488,,,,,43.6795478928,-261.53114774,44.3771516183,-261.289806575,44.2333788842,-262.02661436,549,61.0718727112,401,382,3714,3736,5211,5234,3724.88697952,5220.87365853,7.14475266367,8.00273490251,-0.102778307728,1.73849772873e-05,1.90641485306e-05,-2.02387968161e-07,2.83105540276,2.67069506645,-1.45322179794,0.139988720417,0.124980375171,0.00359572167508,467881.5,468426.5,25667.3886719,42134.828125,3725,5220,3725,5220,0,3724.84462164,5220.31581795,3724.87,5220.41,3724.80591103,5220.97426765,4489.30524193,960.290167828,4489.35173803,960.847678735,4489.32435147,960.757447419,4489.38556163,960.188959919,549,43.6738330967,-261.53098934,0.00571699096967,False,326.836990667,108.33817642,44.3714892093,-261.289799654,44.2275564919,-262.026576204
9,9,R-13C10,637,FTO9,flatNominal,9,9,7.40282980322,14.3648969316,0.0,15.0109528837,0.361387886398,14.9819591001,-0.403555308928,-2.32770620527,0.141993420043,0.137187283814,0.0315693847494,0.0173077356229,flatNominal,ApogeeBoss,-13.0,9.0,56.0,-252.1866,0,0,-1,0,1,0,0,0,0,1,32.0353576541,35.1034426689,,,,,72.7142671738,-264.835154088,73.4525662051,-264.78126496,73.1024524629,-265.461999195,553,61.0718727112,406,388,3475,3497,5235,5258,3485.45316468,5245.48049012,7.4198732378,8.05569796547,-0.189901532922,1.98090030756e-05,2.13447930799e-05,-6.04850523359e-07,2.84747219086,2.71430897713,-1.30156588554,0.13485455513,0.124210678041,0.00635800557211,445947.34375,446480.875,23213.8496094,38292.9101562,3485,5245,3485,5245,0,3485.48721541,5244.88975455,3485.46,5245.03,3485.43287479,5245.59791915,4728.54987294,933.907325297,4728.52020663,934.49829727,4728.54620975,934.362464507,4728.56929091,933.789748944,553,72.7528801473,-264.839649935,0.0388738261555,False,32.5338980638,34.4433939784,73.4913281506,-264.787842173,73.1392969133,-265.467586787
10,10,R-13C11,707,FTO10,flatNominal,10,10,7.38858267277,14.2965961212,0.0,14.9498061857,0.366924250914,14.8927319811,-0.473195158249,-1.01756023077,-0.194106866187,0.0719623243935,-0.0817261735214,0.0190620687036,flatNominal,ApogeeBoss,-13.0,10.0,78.4,-252.1866,0,0,-1,0,1,0,0,0,0,1,21.9620253146,118.238779306,,,,,90.3408743515,-248.370962044,90.4926365627,-247.637282941,91.0891260113,-248.231638411,542,61.0718727112,415,391,3329,3353,5100,5123,3340.80758564,5110.20863541,7.63568419668,8.07794521731,-0.0328615018791,1.93273956931e-05,1.96295234257e-05,4.0763515859e-07,2.84259986877,2.76283478737,-1.49703276157,0.130966320634,0.123796023428,0.00106555572711,469195.25,469733.625,24696.0664062,39993.8164062,3341,5110,3341,5110,0,3340.78238067,5109.55851807,3340.8,5109.74,3340.8834071,5110.25476928,4874.19523742,1068.10213153,4874.22526581,1068.75204394,4874.20237258,1068.57439888,4874.11907572,1068.05656155,542,90.3521661738,-248.354365519,0.020073611351,False,22.1370741507,118.115640415,90.50326361,-247.620549222,91.1002912994,-248.214364028
