,index,holeID,positionerID,robotailID,wokID_x,apSpecID,bossSpecID,alphaArmLen,metX,metY,apX,apY,bossX,bossY,alphaOffset,betaOffset,dx,dy,stdr,wokID_y,holeType,hexRow,hexCol,xWok,yWok,zWok,ix,iy,iz,jx,jy,jz,kx,ky,kz,alphaReport,betaReport,cmdAlpha,cmdBeta,startAlpha,startBeta,xWokReportMetrology,yWokReportMetrology,xWokReportAPOGEE,yWokReportAPOGEE,xWokReportBOSS,yWokReportBOSS,index,thresh,npix,tnpix,xmin,xmax,ymin,ymax,x,y,x2,y2,xy,errx2,erry2,errxy,a,b,theta,cxx,cyy,cxy,cflux,flux,cpeak,peak,xcpeak,ycpeak,xpeak,ypeak,flag,xWinpos,yWinpos,xSimple,ySimple,xNudge,yNudge,xRot,yRot,xWinposRot,yWinposRot,xSimpleRot,ySimpleRot,xNudgeRot,yNudgeRot,centroidID,xWokMeasMetrology,yWokMeasMetrology,wokErr,wokErrWarn,alphaMeas,betaMeas,xWokMeasAPOGEE,yWokMeasAPOGEE,xWokMeasBOSS,yWokMeasBOSS
0,0,R-13C1,1004,FTO0,flatNominal,0,0,7.40635738192,14.3179860815,0.0,14.9733275655,0.364967350287,14.963733287,-0.376150133223,0.636819198317,0.0915112945468,0.179203784145,-0.0833079596417,0.0213359803132,flatNominal,ApogeeBoss,-13.0,0.0,-145.6,-252.1866,0,0,-1,0,1,0,0,0,0,1,303.623313904,100.744564533,,,,,-141.663258568,-266.64255123,-140.941447514,-266.846664999,-141.471411572,-267.364820644,195,61.9763031006,363,344,1676,1698,2533,2559,1687.43146769,2547.38206269,7.71792302717,11.1394082292,-0.149399575813,4.33565397301e-05,6.60990280516e-05,8.47690193564e-07,3.33855056763,2.77694296837,-1.52724170685,0.129602178931,0.0897946879268,0.00347639853135,252149.28125,252797.875,10133.4990234,14991.4375,1688,2547,1688,2547,0,1687.67843284,2546.83350701,1687.64,2547.17,1686.27929056,2544.21166818,2949.3570713,894.052266438,2949.93434202,893.882963064,2949.65311168,894.077778296,2951.01531363,891.114725662,195,-141.660954011,-266.598989885,0.0436222622127,False,303.394073146,101.081257442,-140.938761434,-266.801749616,-141.467752814,-267.32089824
1,1,R-13C2,1009,FTO1,flatNominal,1,1,7.38311124378,14.3056225747,0.0,14.9512203539,0.371279136569,14.9484875503,-0.385825465062,-0.296475566983,-0.0696109612059,0.0566868460496,-0.0257238711226,0.0288233972446,flatNominal,ApogeeBoss,-13.0,1.0,-123.2,-252.1866,0,0,-1,0,1,0,0,0,0,1,38.3032912016,58.0102318525,,,,,-104.450913936,-256.578425197,-103.847261643,-256.142250233,-103.771531557,-256.895562785,171,61.9763031006,364,342,1934,1956,2355,2379,1945.06107806,2367.44967082,7.83834283808,8.96501628618,-0.273787094376,3.87022019467e-05,4.18866330877e-05,-1.06514007009e-06,3.00466704369,2.78842878342,-1.34459996223,0.127714216709,0.111663810909,0.00780065637082,291058.875,291575.21875,13989.7841797,23362.5332031,1945,2367,1945,2367,0,1945.18397945,2367.08595215,1945.17,2367.2,1945.18128739,2367.21992899,3253.61028652,972.656737108,3253.96647068,972.513458123,3253.87008429,972.581048529,3253.86296907,972.598572499,171,-104.455813339,-256.531032132,0.0476456382217,False,38.3043602698,58.1996968532,-103.853614858,-256.092852169,-103.775380094,-256.84590872
2,2,R-13C3,1136,FTO2,flatNominal,2,2,7.39051516067,14.3363338522,0.0,14.9974674757,0.334438383901,14.9909165242,-0.406490434958,-0.521688890608,0.266420010045,0.0540630368742,-0.0653913240946,0.0240620455019,flatNominal,ApogeeBoss,-13.0,2.0,-100.8,-252.1866,0,0,-1,0,1,0,0,0,0,1,10.0138295442,170.011078119,,,,,-99.5889644072,-245.193771,-99.9207419667,-244.531298093,-99.1798454748,-244.540827934,175,61.9763031006,378,365,2029,2051,2384,2410,2040.54559029,2397.09210733,7.66468547292,9.52172400614,-0.196107194102,3.01319304689e-05,3.74635992228e-05,-7.57369099823e-07,3.08904623985,2.76481509209,-1.4667236805,0.130537286401,0.105078369379,0.00537703046575,331083.75,331763.09375,15161.9628906,22804.0878906,2041,2397,2041,2397,0,2040.76720332,2396.60359182,2040.73,2396.81,2040.79074891,2396.90078544,3293.21562447,1064.45751773,3293.73080411,1064.30801964,3293.5476413,1064.41043913,3293.52041455,1064.51924151,175,-99.576676235,-245.17412388,0.0231734434242,False,10.8944502808,169.528507743,-99.9130481419,-244.513971897,-99.1721033235,-244.518354327
3,3,R-13C4,1118,FTO3,flatNominal,3,3,7.35982005957,14.2952971099,0.0,14.9219003495,0.392837134749,14.9522770728,-0.351985710365,0.453283784589,-2.22395706337,0.159959440692,0.0159495472563,0.0214242380762,flatNominal,ApogeeBoss,-13.0,3.0,-78.4,-252.1866,0,0,-1,0,1,0,0,0,0,1,327.20033884,83.9978116751,,,,,-71.4633526909,-267.862153572,-70.7318901191,-267.971310066,-71.1932567086,-268.556822394,132,61.9763031006,374,351,2039,2061,2089,2112,2050.75328393,2100.24087091,7.22491719933,8.74845204685,-0.151606164709,2.73013878505e-05,3.22152225152e-05,-1.11068586314e-06,2.96030259132,2.6851401329,-1.4725703001,0.138460233808,0.11434751749,0.00479888916016,344515.28125,344955.9375,17010.7226562,28755.2226562,2051,2100,2051,2100,0,2050.93970584,2099.98496623,2050.9,2100.07,2050.87480939,2100.30122909,3525.30342258,879.092721885,3525.61904955,879.067822917,3525.52870749,879.097299938,3525.33664148,879.224281958,132,-71.4236417435,-267.834015619,0.048669330843,False,327.294228185,84.0861516265,-70.6918356994,-267.940845147,-71.1513377359,-268.527821888
4,4,R-13C5,1107,FTO4,flatNominal,4,4,7.40102200966,14.3306670749,0.0,14.9567277882,0.389105330496,14.9739294016,-0.355738465558,0.401596027768,3.98549779119,0.200011098092,-0.0405156949837,0.0193305700694,flatNominal,ApogeeBoss,-13.0,4.0,-56.0,-252.1866,0,0,-1,0,1,0,0,0,0,1,300.935461521,82.7045148611,,,,,-55.6280780311,-268.885720725,-54.9904259245,-269.255524411,-55.6398358319,-269.620702379,117,61.9763031006,377,359,2117,2138,1985,2007,2128.33711818,1995.39595267,7.59648347742,8.65383006214,-0.15621153175,2.81129260328e-05,3.08171737067e-05,-1.36735376289e-06,2.94557738304,2.75206971169,-1.42714464664,0.13168874383,0.115598678589,0.00475426483899,348463.03125,349085.875,15623.2226562,24120.8496094,2129,1995,2128,1995,0,2128.31046076,1995.14062213,2128.49,1995.24,2128.47300166,1995.49497026,3655.40144315,869.807612032,3655.57801489,869.621260955,3655.62151296,869.823284277,3655.41464234,869.975226419,117,-55.6043987039,-268.887115472,0.0237203679027,False,301.031398575,82.6866256208,-54.9662434458,-269.256050211,-55.6151553086,-269.62211246
5,5,R-13C6,1127,FTO5,flatNominal,5,5,7.39551645805,14.3285609671,0.0,14.986635533,0.372019421927,14.9760747324,-0.378356294532,-0.663947593606,0.539771987147,0.128836986852,-0.023979672984,0.0177033585356,flatNominal,ApogeeBoss,-13.0,5.0,-33.6,-252.1866,0,0,-1,0,1,0,0,0,0,1,138.736714125,43.6359679699,,,,,-29.2445606322,-232.495688052,-29.6421123668,-231.852715889,-28.8919000552,-231.833828491,118,61.9763031006,375,360,2483,2504,2012,2034,2493.46011878,2022.24127203,7.62946902391,8.61726896473,-0.176167352658,2.80010272915e-05,3.05477210089e-05,-1.20133742479e-06,2.94070506096,2.75662684441,-1.39948689938,0.131132617593,0.116100855172,0.00536162592471,348050.71875,348507.625,16013.8496094,24628.9746094,2494,2022,2494,2022,0,2493.44353266,2021.95965536,2493.55,2022.05,2493.49191653,2022.33841989,3872.54492733,1164.56884424,3872.74801429,1164.37304144,3872.75350347,1164.51502092,3872.49183333,1164.65619314,118,-29.2287021732,-232.508637994,0.0204741715559,False,138.586140889,43.780875829,-29.6261903291,-231.865626524,-28.8759761536,-231.846813306
6,6,R-13C7,1104,FTO6,flatNominal,6,6,7.39402217741,14.3321964374,0.0,14.9788597111,0.371407340788,14.9697019537,-0.389586211094,-0.0717444939533,1.88710288858,0.150498543094,-0.170912428703,0.0163987668575,flatNominal,ApogeeBoss,-13.0,6.0,-11.2,-252.1866,0,0,-1,0,1,0,0,0,0,1,84.6231526136,34.5498508215,,,,,8.27629130481,-245.660048893,8.63943330647,-245.008708207,9.02339076653,-245.665801594,85,61.9763031006,381,365,2602,2624,1706,1728,2613.00355875,1717.17239794,7.72674755171,8.41815360832,-0.253926784497,2.87922520639e-05,2.902583156e-05,-1.1831514348e-06,2.91571450233,2.76468992233,-1.25403535366,0.129548981786,0.118908770382,0.00781548023224,355617.625,356129.0,17574.2265625,30327.0390625,2613,1717,2613,1717,0,2613.10004471,1716.9917547,2613.1,1717.05,2613.03762794,1717.29433035,4182.00228933,1056.89436683,4182.20225009,1056.85012642,4182.15239815,1056.88904153,4181.9318501,1056.99956445,85,8.29699862381,-245.635419536,0.0321776055682,False,85.0225267289,34.0260777595,8.66155394058,-244.984868828,9.04408383453,-245.642794303
7,7,R-13C8,1314,FTO7,flatNominal,7,7,7.38350285934,14.3061029845,0.0,14.9511828395,0.362062227679,14.9403458708,-0.385370561787,-0.656526793594,-0.160742399459,0.133380148382,-0.180391160307,0.0194040566423,flatNominal,ApogeeBoss,-13.0,7.0,11.2,-252.1866,0,0,-1,0,1,0,0,0,0,1,17.2298052907,128.834137917,,,,,21.2808042179,-247.642648285,21.3510530738,-246.906250177,21.9589766505,-247.3412239,73,61.9763031006,377,359,2660,2681,1614,1636,2670.30912408,1625.17038626,7.40323535537,8.59233515853,-0.295087462696,2.67107780768e-05,2.97373839335e-05,-1.59194080135e-06,2.94304895401,2.70814204216,-1.34044635296,0.135261237621,0.116542331874,0.00929058156908,356013.6875,356510.71875,16823.90625,27900.21875,2670,1625,2670,1625,0,2670.38099172,1624.99035379,2670.37,1625.07,2670.34077953,1625.29458627,4289.15454617,1040.56366495,4289.33802758,1040.5011252,4289.27102239,1040.54355992,4289.08081452,1040.66850461,73,21.2926441286,-247.632077423,0.0158721963605,False,17.3830778314,128.715387675,21.3624492713,-246.895637121,21.9706348215,-247.330244474
8,8,R-13C9,756,FTO8,flatNominal,8,8,7.35918660207,14.2856832585,0.0,14.9184064105,0.38020774447,14.929898854,-0.370408159634,0.95419524617,1.93968587045,0.164380594519,0.0192509246608,0.0261180952259,flatNominal,ApogeeBoss,-13.0,8.0,33.6,-252.1866,0,0,-1,0,1,0,0,0,0,1,348.620760441,94.8902249336,,,,,46.545182943,-260.484479701,47.2005021446,-260.144695564,47.164904038,-260.894554942,50,61.9763031006,375,349,2715,2737,1388,1411,2726.19874601,1399.43357102,7.32450088015,8.29634737476,-0.252161723618,2.64024741288e-05,2.76205177944e-05,-9.74280206186e-07,2.89099955559,2.69498968124,-1.33145666122,0.136671081185,0.120661228895,0.00830804556608,361735.8125,362333.09375,17510.6992188,29087.7617188,2726,1399,2726,1399,0,2726.22124188,1399.31200937,2726.24,1399.37,2726.16989996,1399.4528258,4496.95212789,936.156171801,4497.05908405,936.094174382,4497.02847608,936.14025744,4496.91873877,936.146790559,50,46.5544257964,-260.48710601,0.00960873741795,False,348.694379336,94.8129037854,47.2097669523,-260.147364217,47.1741203924,-260.897221293
9,9,R-13C10,637,FTO9,flatNominal,9,9,7.40282980322,14.3648969316,0.0,15.0109528837,0.361387886398,14.9819591001,-0.403555308928,-2.32770620527,0.141993420043,0.137187283814,0.0315693847494,0.0173077356229,flatNominal,ApogeeBoss,-13.0,9.0,56.0,-252.1866,0,0,-1,0,1,0,0,0,0,1,116.472694874,56.4572113752,,,,,65.0972370793,-235.117814281,64.8444677501,-234.422043367,65.5947880044,-234.573695099,51,61.9763031006,367,354,2972,2993,1406,1429,2982.82083114,1417.24873454,7.26175957673,8.33344834224,-0.140292900627,2.75847189652e-05,2.99649858344e-05,-7.77240071069e-07,2.88989782333,2.69141197205,-1.44276189804,0.137752473354,0.120037384331,0.00463810237125,343547.25,344104.0,17181.4316406,28745.8066406,2983,1417,2983,1417,0,2982.85724315,1417.06892539,2982.85,1417.15,2982.78422079,1417.27097332,4650.36818868,1142.64052209,4650.52843476,1142.55120043,4650.46526552,1142.60136724,4650.32748225,1142.62718541,51,65.0538554868,-235.119289514,0.0434066686254,False,116.395287981,56.7263882099,64.7987588208,-234.424368519,65.5495824523,-234.573508071
